"","hhidpn","wave","tot_finw","income","age","female","hi_school","college","married","if_child","empl","selfempl","socladder"
"41551",533410020,10,2373.803,123437.794805875,50.999999,1,0,1,1,1,1,0,3
"305",11611010,9,1180440.6,641140.01932941,66.999998,0,0,1,0,1,0,1,8
"34984",501768020,8,172027.16,579757.250534941,54.000001,0,0,1,1,1,1,0,9
"36875",502551020,14,135019.09,163259.711548298,69.000001,0,1,0,1,1,0,1,8
"24262",180795021,8,89864.93,200219.115921286,59.000001,1,1,0,1,1,0,1,8
"19754",114482020,15,2000,329228.66797554,73.000002,1,0,1,0,0,0,0,7
"82",10453010,12,174919.58,66980.9509454528,80,1,1,0,1,1,0,0,8
"10532",48483020,12,359772.41,143040.485989057,75.999999,1,1,0,1,1,0,0,9
"23455",160654010,15,1e+05,105599.966189402,75.999999,1,0,1,1,1,0,0,10
"14147",61054020,8,1.2837847,51731.380387395,65,1,0,0,1,1,0,0,2
"26627",205182010,14,1.0306802,17358.7218101432,96.999998,0,0,0,0,0,0,0,6
"18083",84257030,12,2733.1184,79936.0637787354,69.000001,1,1,0,1,1,0,0,7
"24028",177662020,8,19256.771,566970.80294699,53.000002,1,0,1,1,1,1,0,8
"26771",205532020,10,830.83105,41161.7278440634,83.999996,1,0,0,0,1,0,0,3
"41735",534203010,11,1.1272551,191633.431435232,54.000001,0,1,0,1,1,1,0,8
"41690",533999010,15,230000,82248.003304105,61.999998,1,1,0,0,1,1,0,6
"26373",204618020,10,373873.97,319038.813433173,88.000002,1,1,0,1,1,0,0,7
"19755",114508010,9,43274.809,201641.328410117,63.000002,0,1,0,1,1,1,0,5
"9912",46602010,13,1.0783433,38820.3542328138,75.999999,1,1,0,0,1,0,0,6
"40599",528854020,10,52579.738,370408.226926301,53.000002,0,0,1,1,1,1,0,6
"27657",208788020,10,71214.094,66162.6666814622,93.999996,0,1,0,1,1,0,0,7
"27851",210381010,8,8148.1816,43073.5667418306,76.999998,1,1,0,0,1,0,0,7
"16841",79752030,14,55450.594,111066.10251844,70,1,0,1,0,1,1,0,8
"35337",501903020,8,5135.1387,316324.567682611,53.000002,1,1,0,1,1,1,0,8
"13048",56117030,8,1.2837847,25347.0365042198,51.999998,1,1,0,0,1,0,0,1
"1639",15883010,13,164986.52,109180.066473602,85,0,1,0,1,1,0,0,9
"28282",211073020,13,1.0783433,42365.9570132082,86.999998,1,0,0,0,1,0,0,7
"41360",532216020,13,2805849,232922.130460317,60.999999,0,1,0,1,1,1,0,8
"9078",44192010,14,1.0306802,159276.716368497,75.999999,0,1,0,1,1,0,0,6
"26622",205181020,8,3896286.8,155522.840192176,68.000002,1,1,0,1,1,0,0,10
"40057",527238010,15,485000,469367.870825879,64.000001,0,1,0,1,1,1,0,8
"33144",501066011,15,124100,264775.88305662,64.000001,0,1,0,1,1,1,0,8
"15310",74477010,10,1.1869016,707241.630357887,74.000001,0,0,1,1,1,1,0,9
"3457",21227020,14,814966,99093.7224782093,75.999999,1,1,0,1,1,0,0,8
"19472",112028020,9,60103.898,174060.915565105,55.999999,1,1,0,1,1,1,0,7
"39974",527078010,11,1.1272551,103986.98505717,53.000002,1,1,0,0,1,1,0,5
"11110",50152030,9,13823.897,72389.1500925153,63.000002,1,1,0,1,1,0,0,9
"27814",210300010,12,218.64946,38888.9795154302,88.999996,1,0,1,0,1,0,0,5
"42558",900158010,15,10000,97439.9804516374,69.000001,1,0,1,1,1,0,0,5
"42462",537532010,11,7327.1577,86320.6991490679,58.000002,1,1,0,0,1,1,0,8
"18711",86192010,11,1.1272551,29461.9374718516,74.000001,1,0,0,0,1,0,0,2
"43633",906709010,13,215.66864,28036.9256821906,58.000002,0,1,0,0,1,1,0,4
"45578",919624010,13,189249.23,129479.816223483,59.000001,1,0,0,0,1,1,0,8
"34702",501665020,8,83446.008,689854.373704668,55,0,0,1,1,1,1,0,8
"41248",531532010,12,1093.2473,437.301197232236,55.999999,0,1,0,0,1,1,0,7
"9507",45397040,14,11337.481,55434.0769455381,70,1,1,0,0,1,0,0,6
"27070",206215010,10,20177.326,25209.7935544853,90,1,1,0,0,1,0,0,3
"21975",143433010,12,17491.957,200711.4004867,69.000001,0,0,0,1,1,1,0,4
"13636",59179010,13,1.0783433,40683.7311208538,79.000001,0,0,0,0,1,0,0,3
"15447",75412020,10,949521.25,361890.882145588,76.999998,1,0,1,1,1,0,0,9
"3612",21587010,8,751014.06,362643.347863671,70.999999,1,0,1,1,0,1,0,8
"1776",16190010,8,4493.2466,112476.313572232,65.999999,1,1,0,0,1,1,0,7
"19062",87372010,8,34790.566,103057.088219232,71.999998,1,1,0,1,1,0,0,5
